City,Temperature (F),Humidity (%),Clouds(% Cloudy),Windspeed (mph),Latitude,Longitude,Country,Date-Time
wattegama,72.16,92,13,5.41,6.7989,81.4808,LK,1612734404
banda aceh,78.62,79,47,6.93,5.5577,95.3222,ID,1612734405
dourados,72.27,70,0,3.11,-22.2211,-54.8056,BR,1612734406
sulangan,80.83,81,100,20.18,11.1373,123.7228,PH,1612734407
alappuzha,75.15,77,19,7.02,9.49,76.3264,IN,1612734409
sabzevar,51.17,47,100,0.85,36.2126,57.6819,IR,1612734410
samarai,83.55,71,99,3.58,-10.6167,150.6667,PG,1612734411
luganville,83.57,60,0,7,-15.5333,167.1667,VU,1612734412
dunedin,61,88,89,1.01,-45.8742,170.5036,NZ,1612734229
nantucket,32.47,100,90,31.07,41.2835,-70.0995,US,1612734414
tura,56.98,46,3,2.8,25.5198,90.2201,IN,1612734416
port pirie,62.6,72,0,9.22,-33.1833,138.0167,AU,1612734417
waitara,62.01,84,56,5.99,-38.925,174.25,NZ,1612734418
linqiong,46.4,81,0,1.81,30.4159,103.4609,CN,1612734419
pszczyna,19.67,96,100,20.09,49.9804,18.9538,PL,1612734420
lasa,36.75,100,90,4.61,46.6166,10.7002,IT,1612734421
brawley,76.39,17,1,0.96,32.9787,-115.5303,US,1612734423
college,-14.73,76,20,2.35,64.8569,-147.8028,US,1612734403
lashio,50.79,98,4,2.06,22.9333,97.75,MM,1612734425
ugoofaaru,81.32,76,15,10.25,5.6667,73,MV,1612734426
arthur,9.23,66,90,6.91,39.7148,-88.4723,US,1612734427
evensk,15.35,90,100,33.76,61.95,159.2333,RU,1612734428
chuy,69.1,72,32,10.38,-33.6971,-53.4616,UY,1612734430
cananeia,74.37,67,0,5.99,-25.0147,-47.9267,BR,1612734431
burnie,55.99,68,97,6.02,-41.0667,145.9167,AU,1612734432
kainantu,63.36,91,100,2.53,-6.2887,145.8655,PG,1612734433
pitimbu,82.4,78,75,9.22,-7.4706,-34.8086,BR,1612734435
palmer,27,93,90,8.05,42.1584,-72.3287,US,1612734436
wellington,66.52,73,75,19.57,-41.2866,174.7756,NZ,1612734376
dayong,62.6,88,0,2.24,25.0209,118.2898,CN,1612734438
itoman,57.36,72,20,6.91,26.1247,127.6694,JP,1612734439
hirara,64.4,82,20,6.91,24.8,125.2833,JP,1612734440
pringsewu,72.79,94,84,2.44,-5.3582,104.9744,ID,1612734442
monrovia,77,94,20,9.17,6.3005,-10.7969,LR,1612734241
bukoba,68,94,20,4.72,-1.3317,31.8122,TZ,1612734444
westport,30.36,93,90,8.05,41.1415,-73.3579,US,1612734237
diffa,70.68,19,0,9.06,13.3154,12.6113,NE,1612734446
stornoway,34.54,75,75,12.66,58.2093,-6.3865,GB,1612734447
mar del plata,60.13,88,90,18.41,-38.0023,-57.5575,AR,1612734266
fasa,51.8,93,90,3.76,28.9383,53.6482,IR,1612734450
songea,65.75,99,91,2.17,-10.6833,35.65,TZ,1612734451
vestmanna,37.4,56,75,13.8,62.1564,-7.1664,FO,1612734355
talara,77.77,70,0,15.1,-4.5772,-81.2719,PE,1612734453
necochea,60.01,73,100,8.99,-38.5473,-58.7368,AR,1612734454
tuy hoa,70.92,90,100,4.79,13.0833,109.3,VN,1612734455
andrews,73.4,8,1,12.66,32.3187,-102.5457,US,1612734456
yeniseysk,19.31,94,52,7.4,58.4497,92.1703,RU,1612734458
waddan,73.62,17,100,15.7,29.1614,16.139,LY,1612734459
vanderhoof,3.97,89,98,0.94,54.0166,-124.0198,CA,1612734460
superior,-3.23,32,1,13.8,46.7208,-92.1041,US,1612734461
